data,temperatura,umidade
13:02:00 09/04/2024, 25.80, 85.00
13:02:02 09/04/2024, 25.80, 85.00
13:02:04 09/04/2024, 25.80, 85.00
13:02:06 09/04/2024, 25.80, 85.00
13:02:08 09/04/2024, 25.80, 85.00
13:02:10 09/04/2024, 25.80, 85.00
13:02:12 09/04/2024, 25.80, 85.00
13:02:14 09/04/2024, 25.80, 85.00
13:02:16 09/04/2024, 25.80, 85.00
13:02:18 09/04/2024, 26.10, 85.00
13:02:20 09/04/2024, 26.20, 85.00
13:02:22 09/04/2024, 26.20, 85.00
13:02:24 09/04/2024, 26.20, 85.00
13:02:26 09/04/2024, 26.20, 85.00
13:02:28 09/04/2024, 26.20, 85.00
13:02:30 09/04/2024, 26.20, 85.00
13:02:32 09/04/2024, 26.20, 85.00
13:02:34 09/04/2024, 26.20, 85.00
13:02:36 09/04/2024, 26.20, 85.00
13:02:38 09/04/2024, 26.20, 85.00
13:02:40 09/04/2024, 26.20, 85.00
13:02:42 09/04/2024, 26.20, 85.00
13:02:44 09/04/2024, 26.20, 85.00
13:02:46 09/04/2024, 26.20, 85.00
13:02:48 09/04/2024, 26.20, 85.00
13:02:50 09/04/2024, 26.20, 85.00
13:02:52 09/04/2024, 26.20, 85.00
13:02:54 09/04/2024, 26.20, 85.00
13:02:57 09/04/2024, 26.20, 85.00
13:02:59 09/04/2024, 26.30, 85.00
13:03:01 09/04/2024, 26.60, 85.00
13:03:03 09/04/2024, 26.70, 85.00
13:03:05 09/04/2024, 26.70, 85.00
13:03:07 09/04/2024, 26.70, 85.00
13:03:09 09/04/2024, 26.70, 85.00
13:03:11 09/04/2024, 26.70, 85.00
13:03:13 09/04/2024, 26.70, 85.00
13:03:15 09/04/2024, 26.70, 85.00
13:03:17 09/04/2024, 26.70, 85.00
13:03:19 09/04/2024, 26.70, 85.00
13:03:21 09/04/2024, 26.70, 85.00
13:03:23 09/04/2024, 26.70, 85.00
13:03:25 09/04/2024, 26.70, 85.00
13:03:27 09/04/2024, 26.70, 85.00
13:03:29 09/04/2024, 26.70, 85.00
13:03:31 09/04/2024, 26.70, 85.00
13:03:33 09/04/2024, 26.70, 85.00
13:03:35 09/04/2024, 26.70, 85.00
13:03:37 09/04/2024, 26.70, 85.00
13:03:39 09/04/2024, 26.70, 84.00
13:03:41 09/04/2024, 26.70, 84.00
13:03:43 09/04/2024, 26.70, 84.00
13:03:45 09/04/2024, 26.70, 84.00
13:03:47 09/04/2024, 26.70, 84.00
13:03:49 09/04/2024, 26.70, 84.00
13:03:51 09/04/2024, 26.70, 84.00
13:03:53 09/04/2024, 26.70, 84.00
13:03:55 09/04/2024, 26.70, 84.00
13:03:57 09/04/2024, 26.70, 84.00
13:03:59 09/04/2024, 26.70, 84.00
13:04:01 09/04/2024, 26.70, 84.00
13:04:03 09/04/2024, 26.70, 84.00
13:04:05 09/04/2024, 26.70, 84.00
13:04:07 09/04/2024, 26.70, 84.00
13:04:09 09/04/2024, 26.70, 83.00
13:04:11 09/04/2024, 26.70, 83.00
13:04:13 09/04/2024, 26.70, 83.00
13:04:15 09/04/2024, 26.70, 83.00
13:04:17 09/04/2024, 26.70, 83.00
13:04:20 09/04/2024, 26.70, 83.00
13:04:22 09/04/2024, 26.70, 83.00
13:04:24 09/04/2024, 26.70, 83.00
13:04:26 09/04/2024, 26.70, 83.00
13:04:28 09/04/2024, 26.70, 83.00
13:04:30 09/04/2024, 26.70, 83.00
13:04:32 09/04/2024, 26.70, 83.00
13:04:34 09/04/2024, 26.70, 83.00
13:04:36 09/04/2024, 26.70, 83.00
13:04:38 09/04/2024, 26.70, 83.00
13:04:40 09/04/2024, 26.80, 83.00
13:04:42 09/04/2024, 27.10, 83.00
13:04:44 09/04/2024, 27.10, 83.00
13:04:46 09/04/2024, 27.10, 82.00
13:04:48 09/04/2024, 27.10, 82.00
13:04:50 09/04/2024, 27.10, 82.00
13:04:52 09/04/2024, 27.10, 82.00
13:04:54 09/04/2024, 27.10, 82.00
13:04:56 09/04/2024, 27.10, 82.00
13:04:58 09/04/2024, 27.10, 82.00
13:05:00 09/04/2024, 27.10, 82.00
13:05:02 09/04/2024, 27.10, 82.00
13:05:04 09/04/2024, 27.10, 82.00
13:05:06 09/04/2024, 27.10, 82.00
13:05:08 09/04/2024, 27.10, 82.00
13:05:10 09/04/2024, 27.10, 82.00
13:05:12 09/04/2024, 27.10, 82.00
13:05:14 09/04/2024, 27.10, 82.00
13:05:16 09/04/2024, 27.10, 82.00
13:05:18 09/04/2024, 27.10, 82.00
13:05:20 09/04/2024, 27.10, 82.00
13:05:22 09/04/2024, 27.10, 82.00
13:05:24 09/04/2024, 27.10, 82.00
13:05:26 09/04/2024, 27.10, 82.00
13:05:28 09/04/2024, 27.10, 81.00
13:05:30 09/04/2024, 27.10, 81.00
13:05:32 09/04/2024, 27.10, 81.00
13:08:43 09/04/2024, 27.60, 81.00
13:08:45 09/04/2024, 27.60, 81.00
13:08:47 09/04/2024, 27.60, 81.00
13:08:49 09/04/2024, 27.60, 81.00
13:08:51 09/04/2024, 27.60, 81.00
13:08:53 09/04/2024, 27.60, 81.00
13:08:55 09/04/2024, 27.60, 81.00
13:08:57 09/04/2024, 27.60, 81.00
13:08:59 09/04/2024, 27.60, 81.00
13:09:01 09/04/2024, 27.60, 81.00
13:09:03 09/04/2024, 27.60, 81.00
13:09:05 09/04/2024, 27.60, 81.00
13:09:07 09/04/2024, 27.60, 81.00
13:09:09 09/04/2024, 27.60, 81.00
13:09:11 09/04/2024, 27.60, 81.00
13:09:13 09/04/2024, 27.60, 81.00
13:09:15 09/04/2024, 27.60, 81.00
13:09:17 09/04/2024, 27.60, 81.00
13:09:19 09/04/2024, 27.60, 81.00
13:09:21 09/04/2024, 27.60, 81.00
13:09:23 09/04/2024, 27.60, 81.00
13:09:25 09/04/2024, 27.60, 81.00
13:09:27 09/04/2024, 27.60, 81.00
13:09:29 09/04/2024, 27.60, 81.00
13:09:31 09/04/2024, 27.60, 81.00
13:09:33 09/04/2024, 27.60, 81.00
13:09:35 09/04/2024, 27.60, 81.00
13:09:37 09/04/2024, 27.60, 81.00
13:09:39 09/04/2024, 27.60, 81.00
13:09:41 09/04/2024, 27.60, 81.00
13:09:43 09/04/2024, 27.60, 81.00
13:09:45 09/04/2024, 27.60, 81.00
13:09:47 09/04/2024, 27.60, 81.00
13:09:49 09/04/2024, 27.60, 81.00
13:09:52 09/04/2024, 27.60, 81.00
13:09:54 09/04/2024, 27.60, 81.00
13:09:56 09/04/2024, 27.60, 81.00
13:09:58 09/04/2024, 27.60, 81.00
13:10:00 09/04/2024, 27.60, 80.00
13:10:02 09/04/2024, 27.60, 80.00
13:10:04 09/04/2024, 27.60, 80.00
13:10:06 09/04/2024, 27.60, 80.00
13:10:08 09/04/2024, 27.60, 80.00
13:10:10 09/04/2024, 27.60, 80.00
13:10:12 09/04/2024, 27.60, 80.00
13:11:21 09/04/2024, 28.00, 79.00
13:11:23 09/04/2024, 28.00, 79.00
13:11:25 09/04/2024, 28.00, 79.00
13:11:27 09/04/2024, 28.00, 79.00
13:11:29 09/04/2024, 28.00, 79.00
13:11:31 09/04/2024, 28.00, 79.00
13:11:33 09/04/2024, 28.00, 79.00
13:11:35 09/04/2024, 28.00, 79.00
13:11:37 09/04/2024, 28.00, 79.00
13:11:39 09/04/2024, 28.00, 79.00
13:11:41 09/04/2024, 28.00, 79.00
13:11:43 09/04/2024, 28.00, 79.00
13:11:45 09/04/2024, 28.00, 79.00
13:11:47 09/04/2024, 28.00, 79.00
13:11:49 09/04/2024, 28.00, 79.00
13:11:51 09/04/2024, 28.00, 79.00
13:11:53 09/04/2024, 28.00, 79.00
13:11:55 09/04/2024, 28.00, 79.00
13:11:57 09/04/2024, 28.00, 79.00
13:11:59 09/04/2024, 28.00, 79.00
13:12:01 09/04/2024, 28.00, 79.00
13:12:03 09/04/2024, 28.00, 79.00
13:12:05 09/04/2024, 28.00, 79.00
13:12:07 09/04/2024, 28.00, 79.00
13:12:09 09/04/2024, 28.00, 79.00
13:12:11 09/04/2024, 28.00, 79.00
13:12:13 09/04/2024, 28.00, 79.00
13:12:15 09/04/2024, 28.00, 79.00
13:12:17 09/04/2024, 28.00, 79.00
13:12:19 09/04/2024, 28.00, 79.00
13:12:21 09/04/2024, 28.00, 79.00
13:12:23 09/04/2024, 28.00, 79.00
13:12:25 09/04/2024, 28.00, 79.00
13:12:27 09/04/2024, 28.00, 79.00
13:12:29 09/04/2024, 28.00, 79.00
13:12:31 09/04/2024, 28.00, 79.00
13:12:34 09/04/2024, 28.00, 79.00
13:12:36 09/04/2024, 28.00, 79.00
13:12:38 09/04/2024, 28.00, 79.00
13:12:40 09/04/2024, 28.00, 79.00
13:12:42 09/04/2024, 28.00, 79.00
13:12:44 09/04/2024, 28.00, 79.00
13:12:46 09/04/2024, 28.00, 79.00
13:12:48 09/04/2024, 28.00, 79.00
13:12:50 09/04/2024, 28.00, 79.00
13:12:52 09/04/2024, 28.00, 79.00
13:12:54 09/04/2024, 28.00, 79.00
13:12:56 09/04/2024, 28.00, 79.00
13:12:58 09/04/2024, 28.00, 79.00
13:13:00 09/04/2024, 28.00, 79.00
13:13:02 09/04/2024, 28.00, 79.00
13:13:04 09/04/2024, 28.00, 79.00
13:13:06 09/04/2024, 28.00, 79.00
13:13:08 09/04/2024, 28.00, 79.00
13:13:10 09/04/2024, 28.00, 79.00
13:13:12 09/04/2024, 28.00, 79.00
13:13:14 09/04/2024, 28.00, 79.00
13:13:16 09/04/2024, 28.00, 79.00
13:13:18 09/04/2024, 28.00, 79.00
13:13:20 09/04/2024, 28.00, 79.00
13:13:22 09/04/2024, 28.00, 79.00
13:13:24 09/04/2024, 28.00, 79.00
13:13:26 09/04/2024, 28.00, 79.00
13:13:28 09/04/2024, 28.00, 79.00
13:13:30 09/04/2024, 28.00, 79.00
13:13:32 09/04/2024, 28.00, 79.00
13:13:34 09/04/2024, 28.00, 79.00
13:13:36 09/04/2024, 28.00, 79.00
13:13:38 09/04/2024, 28.00, 79.00
13:13:40 09/04/2024, 28.00, 78.00
13:13:42 09/04/2024, 28.00, 78.00
13:13:44 09/04/2024, 28.00, 78.00
13:13:46 09/04/2024, 28.00, 78.00
13:13:48 09/04/2024, 28.00, 78.00
13:13:50 09/04/2024, 28.00, 78.00
13:13:52 09/04/2024, 28.00, 78.00
13:13:55 09/04/2024, 28.00, 78.00
13:13:57 09/04/2024, 28.00, 78.00
13:13:59 09/04/2024, 28.00, 78.00
13:14:01 09/04/2024, 28.00, 78.00
13:14:03 09/04/2024, 28.00, 78.00
13:14:05 09/04/2024, 28.00, 78.00
13:14:07 09/04/2024, 28.00, 78.00
13:14:09 09/04/2024, 28.00, 78.00
13:14:11 09/04/2024, 28.00, 78.00
13:14:13 09/04/2024, 28.00, 78.00
13:14:15 09/04/2024, 28.00, 78.00
13:14:17 09/04/2024, 28.00, 78.00
13:14:19 09/04/2024, 28.00, 78.00
13:14:21 09/04/2024, 28.00, 78.00
13:14:23 09/04/2024, 28.00, 78.00
13:14:25 09/04/2024, 28.00, 78.00
13:14:27 09/04/2024, 28.00, 78.00
13:14:29 09/04/2024, 28.00, 78.00
13:14:31 09/04/2024, 28.00, 78.00
13:14:33 09/04/2024, 28.00, 78.00
13:14:35 09/04/2024, 28.00, 78.00
13:14:37 09/04/2024, 28.00, 78.00
13:14:39 09/04/2024, 28.00, 78.00
13:14:41 09/04/2024, 28.00, 78.00
13:14:43 09/04/2024, 28.00, 78.00
13:14:45 09/04/2024, 28.00, 78.00
13:14:47 09/04/2024, 28.00, 78.00
13:14:49 09/04/2024, 28.00, 78.00
13:14:51 09/04/2024, 28.00, 78.00
13:14:53 09/04/2024, 28.00, 78.00
13:14:55 09/04/2024, 28.00, 78.00
13:14:57 09/04/2024, 28.00, 78.00
13:14:59 09/04/2024, 28.00, 78.00
13:15:01 09/04/2024, 28.00, 78.00
13:15:03 09/04/2024, 28.00, 78.00
13:15:05 09/04/2024, 28.00, 78.00
13:15:07 09/04/2024, 28.00, 78.00
13:15:09 09/04/2024, 28.00, 78.00
13:15:11 09/04/2024, 28.00, 78.00
13:15:13 09/04/2024, 28.00, 78.00
13:15:16 09/04/2024, 28.00, 78.00
13:15:18 09/04/2024, 28.00, 78.00
13:15:20 09/04/2024, 28.00, 78.00
13:15:22 09/04/2024, 28.00, 78.00
13:15:24 09/04/2024, 28.00, 78.00
13:15:26 09/04/2024, 28.00, 78.00
13:15:28 09/04/2024, 28.00, 78.00
13:15:30 09/04/2024, 28.00, 78.00
13:15:32 09/04/2024, 28.00, 78.00
13:15:34 09/04/2024, 28.00, 78.00
13:15:36 09/04/2024, 28.00, 78.00
13:15:38 09/04/2024, 28.00, 78.00
13:15:40 09/04/2024, 28.00, 78.00
13:15:42 09/04/2024, 28.00, 78.00
13:15:44 09/04/2024, 28.00, 77.00
13:15:46 09/04/2024, 28.00, 77.00
13:15:48 09/04/2024, 28.00, 77.00
13:15:50 09/04/2024, 28.00, 77.00
13:15:52 09/04/2024, 28.00, 77.00
13:15:54 09/04/2024, 28.00, 77.00
13:15:56 09/04/2024, 28.00, 77.00
13:15:58 09/04/2024, 28.00, 77.00
13:16:00 09/04/2024, 28.00, 77.00
13:16:02 09/04/2024, 28.00, 77.00
13:16:04 09/04/2024, 28.00, 77.00
13:16:06 09/04/2024, 28.00, 77.00
13:16:08 09/04/2024, 28.00, 77.00
13:16:10 09/04/2024, 28.00, 77.00
13:16:12 09/04/2024, 28.00, 77.00
13:16:14 09/04/2024, 28.00, 77.00
13:16:16 09/04/2024, 28.00, 77.00
13:16:18 09/04/2024, 28.00, 77.00
13:16:20 09/04/2024, 28.00, 77.00
13:16:22 09/04/2024, 28.00, 77.00
13:16:24 09/04/2024, 28.00, 77.00
13:16:26 09/04/2024, 28.00, 77.00
13:16:28 09/04/2024, 28.00, 77.00
13:16:30 09/04/2024, 28.00, 77.00
13:16:32 09/04/2024, 28.00, 77.00
13:16:34 09/04/2024, 28.00, 77.00
13:16:37 09/04/2024, 28.00, 77.00
13:16:39 09/04/2024, 28.00, 77.00
13:16:41 09/04/2024, 28.00, 77.00
13:16:43 09/04/2024, 28.00, 77.00
13:16:45 09/04/2024, 28.00, 77.00
13:16:47 09/04/2024, 28.00, 77.00
13:16:49 09/04/2024, 28.00, 77.00
13:16:51 09/04/2024, 28.00, 77.00
13:16:53 09/04/2024, 28.00, 77.00
13:16:55 09/04/2024, 28.00, 77.00
13:16:57 09/04/2024, 28.00, 77.00
13:16:59 09/04/2024, 28.00, 77.00
13:17:01 09/04/2024, 28.00, 77.00
13:17:03 09/04/2024, 28.00, 76.00
13:17:05 09/04/2024, 28.00, 76.00
13:17:07 09/04/2024, 28.00, 76.00
13:17:09 09/04/2024, 28.00, 76.00
13:17:11 09/04/2024, 28.00, 76.00
13:17:13 09/04/2024, 28.00, 76.00
13:17:15 09/04/2024, 28.00, 76.00
13:17:17 09/04/2024, 28.00, 76.00
13:17:19 09/04/2024, 28.00, 76.00
13:17:21 09/04/2024, 28.00, 76.00
13:17:23 09/04/2024, 28.00, 76.00
13:17:25 09/04/2024, 28.00, 76.00
13:17:27 09/04/2024, 28.00, 76.00
13:17:29 09/04/2024, 28.00, 76.00
13:17:31 09/04/2024, 28.00, 77.00
13:17:33 09/04/2024, 28.00, 77.00
13:17:35 09/04/2024, 28.00, 77.00
13:17:37 09/04/2024, 28.00, 77.00
13:17:39 09/04/2024, 28.00, 77.00
13:17:41 09/04/2024, 28.00, 77.00
13:17:43 09/04/2024, 28.00, 77.00
13:17:45 09/04/2024, 28.00, 77.00
13:17:47 09/04/2024, 28.00, 77.00
13:17:49 09/04/2024, 28.00, 77.00
13:17:51 09/04/2024, 28.00, 77.00
13:17:53 09/04/2024, 28.00, 77.00
13:17:56 09/04/2024, 28.00, 77.00
13:17:58 09/04/2024, 28.00, 77.00
13:18:00 09/04/2024, 28.00, 77.00
13:18:02 09/04/2024, 28.00, 77.00
13:18:04 09/04/2024, 28.00, 77.00
