ç
"Município","ibge","latitude","longitude","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 1992 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 1993 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 1994 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 1995 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 1996 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 1997 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 1998 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 1999 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2000 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2001 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2002 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2003 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2004 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2005 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2006 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2007 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2008 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2009 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2010 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2011 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2012 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2013 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2014 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2015 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2016 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2017 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2018 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2019 (litros)","/Comércio/Vendas de Combustíveis/Gasolina Automotiva 2020 (litros)"
"Aceguá","4300034","-31.86075999999","-54.16705999999","-","-","-","-","-","-","-","-","-","420.754","830.000","1.007.450","1.242.000","1.220.000","1.036.600","602.909","636.660","622.000","648.000","775.000","1.523.000","4.256.500","6.369.500","6.891.000","5.816.000","6.492.766","6.842.399","7.047.000","7.232.000"
"Água Santa","4300059","-28.16720000000","-52.03099999999","357.050","250.400","181.650","193.750","204.600","201.800","219.000","239.886","252.000","242.000","280.000","233.000","976.000","258.500","306.000","297.000","335.500","355.000","395.000","446.000","513.000","512.000","644.000","708.000","950.000","939.000","888.000","788.000","716.000"
"Agudo","4300109","-29.6447","-53.2515","1.252.900","1.147.250","1.142.350","1.215.800","1.235.100","1.211.750","1.569.400","1.736.073","2.224.480","2.346.050","1.848.000","1.801.000","2.275.000","2.267.004","2.776.014","3.009.406","2.871.036","2.586.000","3.827.000","3.010.500","3.390.000","3.496.000","3.931.000","3.987.000","3.906.000","3.890.842","3.467.360","3.265.000","3.006.000"
"Ajuricaba","4300208","-28.23420000000","-53.77570000000","974.480","945.950","959.000","975.000","1.029.000","1.049.600","1.115.300","1.013.102","935.544","803.694","722.000","811.000","888.000","765.000","626.000","957.103","1.089.331","979.000","1.100.000","1.231.000","1.343.000","1.406.000","1.482.000","1.448.000","1.436.000","1.406.000","1.318.000","1.361.000","1.170.000"
"Alecrim","4300307","-27.65790000000","-54.76489999999","434.150","421.300","441.000","452.050","531.450","549.650","558.050","495.583","478.037","452.211","462.302","742.150","681.051","475.700","429.750","447.000","642.000","788.000","853.000","905.000","949.000","993.000","1.049.000","1.028.000","1.074.964","1.015.000","870.000","855.000","840.000"
"Alegrete","4300406","-29.79019999999","-55.79489999999","7.996.838","8.164.639","8.903.800","9.501.450","9.775.300","10.104.000","10.745.000","11.344.256","10.285.000","9.173.000","8.756.000","8.389.050","8.688.000","8.542.242","7.928.000","8.661.371","10.328.829","11.513.500","13.278.200","14.378.010","14.890.450","15.972.400","17.270.000","17.329.800","16.818.700","17.410.828","16.543.498","16.972.000","15.993.100"
"Alegria","4300455","-27.83449999999","-54.05570000000","251.500","249.600","260.000","291.000","331.000","304.150","302.000","213.935","135.850","151.500","161.600","219.700","409.000","320.100","230.950","298.147","303.882","343.000","379.700","434.159","537.000","368.000","461.000","296.000","297.000","880.000","1.058.000","717.000","718.000"
"Almirante Tamandaré do Sul","4300471","-28.10859999999","-52.91190000000","-","-","-","-","-","-","-","-","-","54.000","328.000","302.000","361.000","363.000","353.000","-","-","70.000","272.000","415.000","515.000","584.000","689.000","658.000","604.000","598.978","616.986","686.000","643.000"
"Alpestre","4300505","-27.2502","-53.03410000000","362.600","360.950","413.100","400.950","360.450","349.250","516.500","461.751","425.700","456.550","514.950","447.549","530.749","459.650","495.550","556.687","616.299","662.500","729.500","749.500","906.000","907.000","942.000","1.007.000","900.000","857.461","842.868","873.000","852.000"
"Alto Alegre","4300554","-28.77690000000","-52.98919999999","172.050","86.950","94.850","98.750","123.000","152.000","106.000","102.399","80.000","108.000","109.000","110.000","120.000","99.000","143.000","196.960","215.986","206.000","224.000","235.000","315.000","339.000","363.000","367.000","335.000","262.976","258.961","287.000","253.000"
